customer_id,customer_name,industry,address,city,state,zip,primary_contact,contact_email,contact_phone,account_manager,billing_terms,credit_limit,ytd_revenue,ytd_loads,avg_load_value,on_time_requirement,special_requirements,contract_start,contract_end,status
CUST-001,AutoParts National,Automotive,4500 Industrial Parkway,Columbus,OH,43215,Robert Martinez,rmartinez@autopartsnational.com,614-555-1001,Jennifer Walsh,Net 30,500000,4250000,1842,2308.00,95%,"Must use dry van only, no rail",2024-01-01,2026-12-31,Active
CUST-002,Heartland Foods,Food & Beverage,2800 Cold Storage Drive,Columbus,OH,43217,Michelle Thompson,mthompson@heartlandfoods.com,614-555-1002,David Kim,Net 21,350000,2890000,1215,2379.00,98%,"FSMA compliant, temp monitoring required, team drivers for frozen",2023-06-01,2026-05-31,Active
CUST-003,BuildRight Supply,Construction,1200 Builders Way,Indianapolis,IN,46201,James Anderson,janderson@buildrightsupply.com,317-555-1003,Jennifer Walsh,Net 30,200000,1450000,892,1626.00,90%,"Flatbed certified carriers only for steel, tarping required",2024-04-01,2027-03-31,Active
CUST-004,MedEquip Direct,Healthcare,800 Medical Center Blvd,Columbus,OH,43210,Patricia Davis,pdavis@medequipdirect.com,614-555-1004,David Kim,Net 15,250000,1680000,608,2763.00,99%,"White glove delivery, signature required, no weekend delivery",2023-09-01,2026-08-31,Active
CUST-005,TechFlow Distribution,Electronics,3200 Technology Drive,Chicago,IL,60607,Steven Wilson,swilson@techflowdist.com,312-555-1005,Sarah Chen,Net 30,300000,1520000,534,2846.00,96%,"High value freight, seal verification, no drop trailers",2024-07-01,2027-06-30,Active
CUST-006,Midwest Manufacturing,Industrial,5600 Factory Road,Detroit,MI,48201,Karen Brown,kbrown@midwestmfg.com,313-555-1006,Jennifer Walsh,Net 30,150000,680000,312,2179.00,92%,,2025-01-01,2027-12-31,Active
CUST-007,Fresh Farms Produce,Agriculture,1500 Harvest Lane,Memphis,TN,38118,Daniel Garcia,dgarcia@freshfarmsproduce.com,901-555-1007,David Kim,Net 14,175000,420000,245,1714.00,97%,"Temp monitoring, max 38F, no stops",2025-03-01,2027-02-28,Active
CUST-008,National Retail Group,Retail,9000 Distribution Center Dr,Louisville,KY,40202,Amanda Lee,alee@nationalretailgroup.com,502-555-1008,Sarah Chen,Net 30,400000,890000,402,2214.00,94%,"Appointment required, MABD compliance",2024-11-01,2026-10-31,Active
CUST-009,Precision Parts Co,Manufacturing,700 Precision Way,Cleveland,OH,44101,Michael Chen,mchen@precisionpartsco.com,216-555-1009,Jennifer Walsh,Net 30,100000,345000,186,1855.00,91%,,2025-06-01,2027-05-31,Active
CUST-010,Southern Distributors,Wholesale,2400 Distribution Blvd,Atlanta,GA,30301,Lisa Rodriguez,lrodriguez@southerndist.com,404-555-1010,David Kim,Net 30,225000,520000,278,1871.00,93%,"Cross-dock available, no direct store delivery",2024-08-01,2026-07-31,Active
