dispatch_id,load_id,shipment_id,customer_name,origin_facility,origin_city,dest_city,pickup_date,pickup_window_start,pickup_window_end,delivery_date,delivery_window_start,delivery_window_end,carrier_id,carrier_name,driver_name,driver_phone,tractor_id,trailer_id,equipment_type,weight_lbs,pieces,status,tendered_time,accepted_time,dispatched_time,check_in_time,loaded_time,departed_time,eta,priority,dispatcher,notes
DSP-4421,LD-9982,SHP-2026-00148,Heartland Foods,MEM-03,Memphis,Nashville,2026-01-16,04:00,08:00,2026-01-16,12:00,16:00,CAR-008,JB Hunt,Carlos Rodriguez,901-555-0211,TRK-JBH-442,TRL-JBH-1128,Reefer 48,32100,14,In Transit,2026-01-15 14:00,2026-01-15 14:22,2026-01-15 16:45,2026-01-16 03:45,2026-01-16 05:12,2026-01-16 06:30,2026-01-16 11:15,Standard,Maria Santos,Temp set at 34F - driver confirmed
DSP-4422,LD-9983,SHP-2026-00149,AutoParts National,CLB-01,Columbus,St. Louis,2026-01-16,08:00,12:00,2026-01-17,14:00,18:00,CAR-025,Schneider National,Jennifer Lee,614-555-0245,TRK-SNI-287,TRL-SNI-892,Dry Van 53,41800,22,In Transit,2026-01-15 16:00,2026-01-15 16:45,2026-01-16 06:30,2026-01-16 07:52,2026-01-16 09:15,2026-01-16 10:00,2026-01-17 08:30,Standard,Tom Bradley,
DSP-4423,LD-9984,SHP-2026-00150,BuildRight Supply,CLB-01,Columbus,Cincinnati,2026-01-16,10:00,14:00,2026-01-16,16:00,20:00,CAR-015,Estes Express,William Turner,614-555-0278,TRK-EST-156,TRL-EST-445,Flatbed,12650,4,In Transit,2026-01-15 18:00,2026-01-16 06:12,2026-01-16 08:00,2026-01-16 09:45,2026-01-16 11:30,2026-01-16 12:15,2026-01-16 14:45,Standard,Maria Santos,Tarping required - steel beams
DSP-4424,LD-9985,SHP-2026-00151,MedEquip Direct,IND-02,Indianapolis,Cleveland,2026-01-17,06:00,10:00,2026-01-17,18:00,22:00,CAR-022,Old Dominion,Amanda White,317-555-0189,TRK-ODL-098,TRL-ODL-334,Dry Van,6200,18,Picked Up,2026-01-16 12:00,2026-01-16 14:30,2026-01-17 04:00,2026-01-17 05:48,2026-01-17 07:22,2026-01-17 08:15,2026-01-17 15:30,High,Tom Bradley,White glove - call 30 min prior to delivery
DSP-4425,LD-9986,SHP-2026-00152,TechFlow Distribution,CLB-01,Columbus,Pittsburgh,2026-01-17,08:00,12:00,2026-01-17,16:00,20:00,CAR-018,XPO Logistics,Steven Garcia,614-555-0312,TRK-XPO-221,TRL-XPO-567,Dry Van,3850,24,Picked Up,2026-01-16 14:00,2026-01-16 15:15,2026-01-17 06:00,2026-01-17 07:45,2026-01-17 09:00,2026-01-17 09:45,2026-01-17 14:00,High,Maria Santos,High value electronics - seal verification at delivery
DSP-4426,LD-9987,SHP-2026-00153,Heartland Foods,CLB-01,Columbus,Indianapolis,2026-01-17,10:00,14:00,2026-01-18,06:00,10:00,CAR-008,JB Hunt,,,,,Reefer 53,36400,16,Confirmed,2026-01-16 16:00,2026-01-17 08:45,,,,,,Standard,Tom Bradley,Team required - frozen at -10F
DSP-4427,LD-9988,SHP-2026-00154,AutoParts National,MEM-03,Memphis,Kansas City,2026-01-18,06:00,10:00,2026-01-19,12:00,16:00,CAR-012,Werner Enterprises,,,,,Dry Van 53,43200,26,Confirmed,2026-01-17 10:00,2026-01-17 11:30,,,,,,Standard,Maria Santos,
DSP-4428,LD-9989,SHP-2026-00155,BuildRight Supply,CHI-04,Joliet,Milwaukee,2026-01-18,12:00,16:00,2026-01-18,20:00,24:00,CAR-015,Estes Express,,,,,Dry Van,5680,8,Tendered,2026-01-17 14:00,,,,,,,Standard,Tom Bradley,
DSP-4429,LD-9990,SHP-2026-00156,MedEquip Direct,CLB-01,Columbus,Lexington,2026-01-19,08:00,12:00,2026-01-19,16:00,20:00,CAR-022,Old Dominion,,,,,Dry Van,2840,8,Pending,,,,,,,2026-01-19 17:00,Standard,Maria Santos,Appointment required - awaiting confirmation
DSP-4430,LD-9991,SHP-2026-00157,TechFlow Distribution,IND-02,Indianapolis,Columbus,2026-01-19,14:00,18:00,2026-01-20,08:00,12:00,CAR-018,XPO Logistics,,,,,Dry Van,4120,16,Pending,,,,,,,2026-01-20 09:30,Standard,Tom Bradley,
DSP-4431,LD-9992,SHP-2026-00158,Heartland Foods,MEM-03,Memphis,Birmingham,2026-01-20,04:00,08:00,2026-01-20,14:00,18:00,CAR-031,Averitt Express,,,,,Reefer 48,29800,12,Pending,,,,,,,2026-01-20 15:00,Standard,Maria Santos,Fresh produce - temp 38F
DSP-4432,LD-9993,SHP-2026-00159,AutoParts National,CLB-01,Columbus,Charlotte,2026-01-20,06:00,10:00,2026-01-21,18:00,22:00,CAR-025,Schneider National,,,,,Dry Van 53,40500,20,Pending,,,,,,,2026-01-21 19:00,Standard,Tom Bradley,
DSP-4433,LD-9994,SHP-2026-00160,BuildRight Supply,CLB-01,Columbus,Toledo,2026-01-20,10:00,14:00,2026-01-20,15:00,19:00,,,,,,Flatbed,9200,2,Open,,,,,,,2026-01-20 16:00,Standard,Maria Santos,RFQ sent to 3 carriers
DSP-4434,LD-9995,SHP-2026-00161,MedEquip Direct,MEM-03,Memphis,Little Rock,2026-01-21,06:00,10:00,2026-01-21,14:00,18:00,,,,,,Dry Van,5500,14,Open,,,,,,,2026-01-21 15:00,Standard,Tom Bradley,RFQ in progress - awaiting quotes
